CODINT_0;flags;Désignation;options_exist
DIVTSI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fam. stat. articles;CMS
DIVTSS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fam. stat. fournisseurs;CMS
DMWBAT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Calcul des déchets;CMS
DOSEXTRA;{};Extraction données;
DOSINTEG;{};Intégration données;
ECMLINK;{};Lien e-commerce;
EDITBLA;{};Balances analytiques;
ETAFIC;{};Etat des tables;
EVCBAT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Revalidation ID TVA intracom;CMS
EXEALH;{};Requêteur;
EXEALHGRP;{};Requêteur;
EXETRT;{};Exécution traitements;
EXPBAL;{};Export balance;
EXPCASDUD;{};Export échéancier tréso Sage;
EXPCASPAY;{};Export règlements tréso Sage;
EXPCONSO;{};Export balance conso Sage;
FAEINT;{};Lancement interface FEC;
FAS246G;{};Situation par code flux;
FASCALC;{};Calcul amortissements;
FASCLOTURE;{};Clôture période et exercice;
FASCNXSYNC;{};Synchronisation contextes;
FASENTRY;{};Pièces immobilisations;
FASEXIT;{};Cessions et sorties immobilisations;
FASFLXM;{};Génération flux provisoires;
FASIMLM;{};Dépréciation - Tr massif;
FASISSM;{};Sortie d'actif - Tr massif;
FASLISTDEP;{};Liste immobilisations;
FASMTCM;{};Changer la méthode - Tr massif;
FASRVAM;{};Réévaluation - Trt massif;
FASSIMU;{};Simulation amortissements;
FASSPLM;{};Eclatement massif des biens;
FASTRFCM;{};Changer l'imputation comptable;
FASVATREG;{};Régularisation TVA - Biens;
FASVATRGG;{};Régularisation TVA globale;
FICMAG;{};Remises magnétiques;
FIYEND;{};Fin d'exercice;
FONADI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tables diverses;CMS
FUNACHPPSI;{};Recherche tarifs;
FUNADCSEARCH;{};Paramétrage recherche stock;
FUNADRVAL;{};Validation adresse;
FUNANL;{};Analyse de production;
FUNAUTALL;{};Allocations automatiques;
FUNAUTDLV;{};Génération livraison commande;
FUNAUTDLV2;{};Livraisons des commandes;
FUNAUTFAE;{};Factures à émettre;
FUNAUTINVC;{};Génération factures contrats;
FUNAUTINVD;{};Génération factures livraisons;
FUNAUTINVO;{};Génération factures commandes;
FUNAUTINVS;{};Génération factures services;
FUNAUTINVSCH;{};Génération factures échéances;
FUNAUTINVT;{};Génération factures transferts;
FUNAUTPRE2;{};Génération listes préparation;
FUNAUTPREP;{};Génération listes préparation;
FUNBCH;{};Paramétrage inter-sociétés;
FUNBENCHI;{};Suivi de fabrication;
FUNBENCHM;{};Suivi des matières;
FUNBENCHO;{};Plan de suivi des temps;
FUNBENCHR;{};Suivi des réintégrations;
FUNBENCHT;{};Plan des fiches techniques;
FUNBENPLT;{};Pilotage des plans de suivi;
FUNBPCALL;{};Gestion réservations clients;
FUNBPCMVT;{};Resynchronisation en-cours client;
FUNBPSMVT;{};Resynchronisation en-cours;
FUNCALREO;{};Réappro zone consommation;
FUNCFMDLV;{};Validation des livraisons;
FUNCFMDLV2;{};Validation livraison;
FUNCFMTNH;{};Validation note de transport;
FUNCHGITG;{};Changement catégorie;
FUNCHGVAL;{};Changement de valeur;
FUNCLEAR;{};Solde des commandes;
FUNCON6;{};Historique des indices;
FUNCPTITH;{};Compléments ITMMVTHIS;
FUNCRM9;{};Identifier;
FUNCRMAGD;{};Agenda;
FUNCRMLCM;{};Resynchronisation en-cours client;
FUNCTLBPR;{};Contrôle des tiers inter-site;
FUNCUSSEA;{};Recherche Client;
FUNDEB;{};Génération fichier DEB;
FUNDESALL;{};Désallocations;
FUNEMIINS;{};Emission des acomptes;
FUNFOAROLL;{};Cumul allergènes alimentaires;
FUNGENBUD;{};Génération version de Budget;
FUNGENPIC;{};Génération version de PIC;
