CODINT_0;flags;Désignation
GESDMWPPA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Affectation emballage article
GESDMWQUOTA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Quotas de gestion des déchets
GESDMWSC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Système de gestion des déchets
GESDPM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modes d'amortissement
GESDPP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan d'amortissement
GESDRN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Régimes et natures mouvement
GESDSP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Répartitions a priori
GESDTA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Affectation cpte général/DATEV
GESDTB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Affectation tiers/DATEV
GESDTE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Export DATEV
GESDTP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Répartitions temporelles
GESDTT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Attribution code taxe DATEV
GESECS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Versions
GESEDM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Formules
GESEDP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage messages
GESEDS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Segments
GESESLASS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Affec. par type vente intracom.
GESESLTYP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de ventes intracom.
GESEXM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Indemnités kilométriques
GESFAE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage FEC
GESFAM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Familles immobilisation
GESFCC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Code fret de marchandises
GESFCS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Charges
GESFCT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factors
GESFCY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sites
GESFGP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupes de relances
GESFID;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Critères de ciblage
GESFIY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Exercices
GESFLU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Définition des flux comptables
GESFLY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Coupons de garantie
GESFPT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Textes de relance
GESFRF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Propriétés des zones libres
GESFRT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Classe de fret
GESFTD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Structure fichier DADS-U
GESFUP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Campagnes de relances
GESFXM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Mouvements à intégrer
GESGAF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Abonnements
GESGAU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pièces automatiques
GESGBS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ecran situation tiers
GESGBSH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ecrans balance âgée à date
GESGCM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modèles comptables
GESGCO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction saisie code compta
GESGCU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupes de devises
GESGDA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Schémas de comptes
GESGDE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transactions saisie pièces
GESGDS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ecrans gestion échéances
GESGFP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ecran campagnes de relances
GESGFSATT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Attribut
GESGFSCV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Valeurs perso. ordonnanceur
GESGFSOPT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Matrice d'optimisation
GESGFSSTM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Matrice temps réglage
GESGPC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pièces comptables
GESGRA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupe pièces automatiques
GESGRT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Subventions
GESGSC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupes de collectif
GESGSP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupes de répartitions
GESGTC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ecrans de consultation
GESGTE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de pièces
GESGTEGRP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupes de types de pièce
GESGVA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres des variables
GESGVG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Variables pièces automatiques
GESHIC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Historique Coûts
GESHIM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Historique prix de revient
